accuracy,utilisation,loss,layers,hash
85.25968031870961,1105,42.664,"[562, 225, 159, 159]",0440a3b6caba3a86bb2e4ebfa2c8183e
86.60909488412767,1105,43.339,"[561, 224, 160, 160]",dbf4376944601030470f30989b04fdc5
89.90064616431036,1105,44.985,"[625, 288, 96, 96]",198d3ace56ea8f4bda7deb304acf8938
84.39853276976146,1105,42.234,"[560, 223, 161, 161]",e5154accf6baf698209b74de3112bfbe
76.5267453723947,1105,38.298,"[559, 222, 162, 162]",cf24b05763498a4454f836a0d74a8806
82.58149929553515,1105,41.325,"[558, 221, 163, 163]",f9f52c5cb9766e91eb383f56f50b81eb
88.17592187727736,1105,44.122,"[626, 289, 95, 95]",480a2b15c43729990495f96fe5cc0fd2
82.60943497060681,1105,41.339,"[557, 220, 164, 164]",62e942d62c9de47c6aee58d263f2deee
76.23281348685809,1105,38.151,"[556, 219, 165, 165]",855f2f00c1bd4bc7c1f3690e88eff675
85.96171597920615,1105,43.015,"[555, 218, 166, 166]",eaeaa642bf0597638f227d9d68535555
85.07263275518632,1105,42.571,"[627, 290, 94, 94]",422a9fc18dc5c3b58378049625ec5967
87.97794296263908,1105,44.024,"[628, 291, 93, 93]",df1de9bdb4b79ce3e92158ad60618028
82.6786668610018,1105,41.374,"[554, 217, 167, 167]",c58ea96e7b1fb51b1df962df33d1455a
86.52042948063936,1105,43.295,"[553, 216, 168, 168]",4d97bc42ca18c140c0b7cdefde6f7ff2
84.18597872030317,1105,42.128,"[629, 292, 92, 92]",1eb166e93645c9f9eda6111232e07616
85.07627653889132,1105,42.573,"[630, 293, 91, 91]",08373c3b82cf4feef9e392ba51058fa5
81.68877228781032,1105,40.879,"[552, 215, 169, 169]",6eb4e29e1297e9f6754b682a8d4e6343
87.92328620706408,1105,43.996,"[551, 214, 170, 170]",b03aa9eb23e92ef66773b1621299d157
67.27760773453821,1105,33.673,"[631, 294, 90, 90]",1a0097197463bad0852f1bc9984a1c37
88.35689646795899,1105,44.213,"[632, 295, 89, 89]",2deefcb3b9e82eb72b86c493051308d6
81.1810717582471,1105,40.625,"[550, 213, 171, 171]",be5cca6dd162a6fe1b66b404bbd6174f
82.58757226837682,1105,41.328,"[549, 212, 172, 172]",a25e8f382ae49b3197bfe99090c9b39e
87.2783364912792,1105,43.674,"[633, 296, 88, 88]",8dc8b6ffe650946e6bafc0efe4b2a386
